Date,Open,High,Low,Close,Adj Close,Volume
2012-06-08,2095.298584,2099.778076,2035.575195,2064.441650,1460.630859,3502461
2012-06-11,2149.049805,2149.547607,2048.017578,2059.962402,1457.461792,3434808
2012-06-12,2051.999268,2100.673828,2047.022217,2086.340088,1476.124512,2995834
2012-06-13,2103.261719,2122.174316,2071.906982,2121.676514,1501.125854,4059062
2012-06-14,2123.169678,2126.155762,2050.008301,2082.358643,1473.307495,2939114
2012-06-15,2092.312500,2145.068359,2068.920898,2120.183594,1500.069580,7369009
2012-06-18,2156.515381,2166.469238,2087.335693,2118.690430,1499.013184,3503963
2012-06-19,2130.137451,2179.906982,2119.187988,2159.999268,1528.239746,4776691
2012-06-20,2157.012939,2204.791748,2156.515381,2204.791748,1559.931641,5647458
2012-06-21,2179.906982,2184.386230,2082.358643,2091.317139,1479.645752,4335742
2012-06-22,2060.459961,2084.349365,2044.036133,2055.980713,1454.644531,4055309
2012-06-25,2037.068359,2069.418457,1997.252686,2000.238770,1415.206299,2681943
2012-06-26,2000.736450,2052.496826,1992.959473,2025.123657,1432.812744,2283341
2012-06-27,2033.584473,2052.496826,1999.741089,2031.095947,1437.038086,2252138
2012-06-28,2032.589111,2041.049927,1984.810303,2029.602905,1435.981689,3306965
2012-06-29,2103.759521,2116.201904,2056.976318,2078.874756,1470.842651,3896790
2012-07-02,2087.335693,2118.192627,2074.893311,2099.280273,1485.280029,2814361
2012-07-03,2102.266602,2151.538330,2092.312500,2144.570557,1517.323853,2078199
2012-07-04,2154.524414,2154.524414,2124.165039,2130.137451,1507.111694,1980551
2012-07-05,2125.160400,2200.312500,2122.174316,2153.031494,1523.309937,4052002
2012-07-06,2134.616699,2196.828613,2081.363281,2094.303223,1481.758423,3066090
2012-07-09,2094.801025,2100.275635,2029.105225,2033.086792,1438.446899,2983373
2012-07-10,2041.547607,2075.888672,2029.602905,2049.510742,1450.066895,2300084
2012-07-11,2031.095947,2060.957764,2018.155884,2046.026855,1447.602051,1997484
2012-07-12,2020.146729,2029.602905,1986.303345,2000.736450,1415.558105,4533134
2012-07-13,2007.206543,2037.566040,1979.833252,2035.575195,1440.207397,2745020
2012-07-16,2026.616699,2029.105225,2005.215820,2012.681152,1424.009521,2620011
2012-07-17,2020.644409,2038.063721,1986.801147,1990.284912,1408.163696,2961514
2012-07-18,2010.690552,2036.072876,1982.321777,2018.653564,1428.234985,2407152
2012-07-19,2014.671997,2038.561401,2008.699707,2025.621338,1433.164917,3482423
2012-07-20,2025.621338,2064.939209,2017.658203,2019.151245,1428.587158,6153467
2012-07-23,1981.824097,1985.656372,1929.068359,1939.022339,1371.894531,3801705
2012-07-24,1945.492310,1959.925537,1919.114380,1925.086792,1362.034546,2399259
2012-07-25,1909.160522,1955.943848,1902.939331,1923.095947,1360.626099,2050630
2012-07-26,1934.045288,1968.386353,1902.192749,1954.948486,1383.162598,3283395
2012-07-27,1891.243530,1929.128052,1847.943970,1885.271118,1333.864502,6927351
2012-07-30,1851.925537,1915.132935,1847.943970,1908.662842,1350.414551,3841495
2012-07-31,1899.206543,1932.054443,1891.243530,1891.243530,1338.090088,3690899
2012-08-01,1886.764160,1918.913452,1884.773438,1911.151245,1352.175171,2415204
2012-08-02,1909.160522,1914.137451,1841.971558,1845.455444,1305.694214,4434461
2012-08-03,1850.432373,1905.676758,1845.107056,1891.741211,1338.442017,2596413
2012-08-06,1895.225098,1931.556763,1885.271118,1917.123657,1356.400635,3331703
2012-08-07,1915.132935,1998.745850,1915.132935,1998.745850,1414.150024,3608571
2012-08-08,1991.777954,2018.155884,1979.833252,2018.155884,1427.882935,3333299
2012-08-09,2019.151245,2037.566040,2001.918091,2015.169678,1425.770020,2746359
2012-08-10,2010.690552,2039.556763,1992.773438,2030.598267,1436.686157,1793912
2012-08-13,2026.616699,2032.091431,1990.679077,2010.192749,1422.248901,1624202
2012-08-14,2025.621338,2039.556763,1999.243530,2008.202026,1420.840210,2320072
2012-08-15,1985.307983,1988.294067,1924.091431,1930.561523,1379.838501,2787046
2012-08-16,1945.492310,1970.874756,1919.612061,1965.400146,1404.738892,4388040
2012-08-17,1971.372559,1971.372559,1903.685913,1918.616821,1371.301147,5409387
2012-08-20,1922.100586,1924.408936,1903.685913,1905.676758,1362.052612,2554690
2012-08-21,1912.644409,1986.303345,1910.155884,1973.860962,1410.786011,2988278
2012-08-22,1946.985352,1950.967041,1890.745850,1901.197388,1358.850952,3119157
2012-08-23,1921.105225,1949.971558,1914.635254,1932.552246,1381.261230,8831456
2012-08-24,1907.667358,1912.315918,1858.395630,1876.312622,1341.065063,3600956
2012-08-28,1893.234253,1893.234253,1845.393799,1856.902466,1327.191772,3210152
2012-08-29,1849.934814,1849.934814,1804.644409,1807.630615,1291.975464,3123075
2012-08-30,1804.644409,1804.644409,1740.441650,1745.418701,1247.510742,4089661
2012-08-31,1746.911743,1787.225098,1727.999268,1741.934814,1245.020752,7989782
2012-09-03,1741.934814,1775.934448,1737.953247,1764.828857,1261.383789,2856085
2012-09-04,1771.298828,1772.791870,1734.967041,1740.441650,1243.953125,3979247
2012-09-05,1747.409424,1756.547119,1712.570679,1747.409424,1248.933472,3052944
2012-09-06,1759.851807,1836.994751,1752.386353,1832.017700,1309.405884,5932645
2012-09-07,1900.699707,1973.184082,1873.824097,1963.409424,1403.316040,7357831
2012-09-10,1960.920898,2015.169678,1953.953125,1992.275757,1423.947754,3104934
2012-09-11,1962.911743,1962.911743,1902.192749,1945.989990,1390.865723,4189064
2012-09-12,1940.515381,1946.985352,1880.294189,1892.736572,1352.803711,5826713
2012-09-13,1886.266479,1905.178955,1867.354126,1900.202026,1358.139648,3263592
2012-09-14,1985.307983,2076.884033,1940.515381,2074.395508,1482.641846,8560487
2012-09-17,2061.953125,2081.860840,2014.174316,2027.114380,1448.848267,3490454
2012-09-18,2002.727295,2014.671997,1977.543945,1999.741089,1429.283691,4705131
2012-09-19,2020.644409,2061.953125,2007.206543,2024.625854,1447.069580,3552871
2012-09-20,1995.759644,2002.727295,1924.091431,1935.040649,1383.039917,4954858
2012-09-21,1952.957764,1963.409424,1919.114380,1929.068359,1378.771484,5338942
2012-09-24,1897.215820,1901.197388,1851.502441,1878.801147,1342.843506,3776892
2012-09-25,1877.307983,1910.155884,1874.321777,1891.741211,1352.092163,3400173
2012-09-26,1826.045410,1867.851807,1811.612183,1822.561523,1302.647217,3911217
2012-09-27,1846.948608,1868.349487,1832.515381,1838.985352,1314.385986,4049085
2012-09-28,1843.962402,1854.487671,1804.644409,1808.625977,1292.687012,4376207
2012-10-01,1807.132935,1901.548828,1807.132935,1882.285034,1345.333740,4095154
2012-10-02,1863.372559,1900.202026,1851.925537,1866.358643,1333.950684,2787384
2012-10-03,1848.939453,1870.340332,1800.662842,1809.621460,1293.398560,5798211
2012-10-04,1815.096069,1828.533813,1782.248047,1805.639771,1290.552612,3773214
2012-10-05,1815.096069,1871.335693,1797.676758,1804.146851,1289.485718,4118014
2012-10-08,1791.704346,1799.135986,1767.317261,1794.192749,1282.371216,2359751
2012-10-09,1801.658325,1843.962402,1787.225098,1805.142090,1290.197021,3429902
2012-10-10,1798.672119,1851.376099,1798.672119,1817.086792,1298.734253,3060536
2012-10-11,1804.146851,1870.610962,1802.156006,1846.948608,1320.077515,3283509
2012-10-12,1834.506226,1859.888672,1816.091431,1816.091431,1298.022949,4609412
2012-10-15,1806.635254,1831.209473,1765.824219,1780.257446,1272.411133,3662630
2012-10-16,1788.718140,1806.635254,1767.814941,1800.662842,1286.995239,4137939
2012-10-17,1805.639771,1904.183594,1789.046753,1896.718140,1355.649658,5671018
2012-10-18,1906.672119,1945.492310,1875.814941,1891.741211,1352.092163,4643287
2012-10-19,1884.773438,1907.667358,1874.819458,1887.759644,1349.246704,3332152
2012-10-22,1884.275757,1945.989990,1877.307983,1899.704346,1357.783813,3832664
2012-10-23,1908.662842,1909.260132,1840.976196,1849.934814,1322.211914,3397846
2012-10-24,1859.390991,1879.796509,1831.520020,1868.349487,1335.373413,2473123
2012-10-25,1909.160522,1914.635254,1846.948608,1848.939453,1321.500366,3681969
2012-10-26,1892.736572,1932.054443,1869.842651,1924.589111,1375.569824,7700355
2012-10-29,1920.109741,1928.072998,1878.801147,1908.165039,1363.830933,2964163
2012-10-30,1913.142090,1935.538452,1911.649048,1928.072998,1378.059814,1312953
2012-10-31,1926.579956,1940.017700,1890.885254,1894.229736,1353.871094,3322500
2012-11-01,1898.708862,1940.515381,1878.303345,1927.575317,1377.704224,2836060
2012-11-02,1924.589111,1964.404785,1922.100586,1928.072998,1378.059814,3491877
2012-11-05,1909.160522,1931.059082,1886.266479,1924.091431,1375.214111,2078871
2012-11-06,1924.091431,1938.524658,1914.137451,1923.095947,1374.502441,2575653
2012-11-07,1940.017700,1941.013062,1856.902466,1865.860962,1333.594849,3463141
2012-11-08,1885.768799,1894.229736,1865.860962,1875.317261,1340.353394,2478281
2012-11-09,1870.340332,1872.331055,1835.003906,1857.400146,1327.547729,4789212
2012-11-12,1851.427856,1857.400146,1814.100708,1819.077637,1300.157104,3572088
2012-11-13,1776.773560,1777.271240,1731.483154,1761.842651,1259.249390,7096463
2012-11-14,1763.833374,1768.312744,1717.050049,1717.050049,1227.234497,4986685
2012-11-15,1699.133057,1714.587402,1675.741333,1683.206665,1203.045654,4557256
2012-11-16,1681.215942,1701.557739,1654.838013,1656.331055,1183.836548,6209282
2012-11-19,1685.197510,1711.575439,1679.722778,1702.616821,1216.918579,3752718
2012-11-20,1699.630737,1699.630737,1666.285034,1686.192871,1205.179932,4322929
2012-11-21,1675.243652,1683.232544,1661.805786,1673.750488,1196.286865,2824874
2012-11-22,1684.699829,1716.054565,1676.736694,1696.644531,1212.650024,4913588
2012-11-23,1695.151367,1722.524658,1678.229736,1711.077759,1222.966187,2243136
2012-11-26,1699.630737,1716.054565,1688.183716,1712.073120,1223.677368,1938790
2012-11-27,1727.003906,1732.478638,1694.653687,1706.598389,1219.764526,2352432
2012-11-28,1694.653687,1709.584595,1676.239014,1699.133057,1214.428833,2916272
2012-11-29,1714.561523,1765.824219,1713.396851,1755.870239,1254.980835,3183014
2012-11-30,1752.386353,1767.814941,1724.017700,1724.515381,1232.570313,4216300
2012-12-03,1727.999268,1750.395630,1715.556885,1734.469360,1239.684570,2248895
2012-12-04,1725.510742,1737.953247,1716.552246,1728.994751,1235.771729,1957002
2012-12-05,1748.902466,1802.653687,1742.930176,1771.796509,1266.363770,5458531
2012-12-06,1779.759644,1808.625977,1779.261963,1803.649048,1289.129883,3135630
2012-12-07,1803.151367,1817.584473,1780.257446,1802.653687,1288.418091,3604871
2012-12-10,1795.685913,1809.805542,1790.211304,1806.137451,1290.908325,1745393
2012-12-11,1802.156006,1836.496948,1791.704346,1824.552246,1304.070190,2394975
2012-12-12,1835.501587,1887.490845,1834.506226,1873.824097,1339.286377,4663119
2012-12-13,1880.294189,1886.266479,1825.050049,1848.441650,1321.144653,3488485
2012-12-14,1838.487793,1839.980835,1807.630615,1818.082153,1299.445801,3449450
2012-12-17,1817.086792,1848.129150,1816.091431,1847.943970,1320.789063,2364511
2012-12-18,1857.897949,1896.718140,1852.240112,1885.768799,1347.823486,3971785
