"Date","Open","High","Low","Close"
"Jun 07, 2022","$1,841.40","$1,855.91","$1,837.20","$1,853.20"
"Jun 06, 2022","$1,851.67","$1,858.39","$1,841.06","$1,842.40"
"Jun 03, 2022","$1,870.00","$1,874.55","$1,847.75","$1,851.31"
"Jun 02, 2022","$1,847.90","$1,870.95","$1,844.50","$1,869.50"
"Jun 01, 2022","$1,838.50","$1,850.36","$1,828.88","$1,846.73"
"May 31, 2022","$1,856.66","$1,857.55","$1,835.52","$1,838.30"
"May 30, 2022","$1,853.13","$1,864.54","$1,848.65","$1,857.50"
"May 27, 2022","$1,851.38","$1,862.38","$1,848.38","$1,853.93"
"May 26, 2022","$1,854.59","$1,855.27","$1,841.32","$1,851.50"
"May 25, 2022","$1,867.50","$1,868.53","$1,842.44","$1,854.30"
"May 24, 2022","$1,854.42","$1,870.10","$1,849.83","$1,867.50"
"May 23, 2022","$1,850.80","$1,865.86","$1,844.18","$1,854.60"
"May 20, 2022","$1,841.83","$1,849.81","$1,832.79","$1,846.66"
"May 19, 2022","$1,816.90","$1,849.63","$1,811.25","$1,842.90"
"May 18, 2022","$1,815.16","$1,825.13","$1,807.66","$1,817.60"
"May 17, 2022","$1,825.01","$1,836.49","$1,813.30","$1,816.20"
"May 16, 2022","$1,811.88","$1,826.93","$1,788.17","$1,825.00"
"May 13, 2022","$1,822.66","$1,829.28","$1,799.50","$1,811.91"
"May 12, 2022","$1,852.37","$1,859.23","$1,821.74","$1,821.86"
"May 11, 2022","$1,838.45","$1,858.65","$1,832.41","$1,852.59"
"May 10, 2022","$1,854.40","$1,865.86","$1,835.77","$1,838.45"
"May 09, 2022","$1,884.08","$1,886.20","$1,852.19","$1,853.95"
"May 06, 2022","$1,877.67","$1,892.99","$1,866.55","$1,884.20"
"May 05, 2022","$1,884.40","$1,910.17","$1,872.98","$1,877.26"
"May 04, 2022","$1,868.61","$1,890.43","$1,861.97","$1,881.75"
"May 03, 2022","$1,863.70","$1,878.51","$1,850.86","$1,868.61"
"May 02, 2022","$1,897.08","$1,900.40","$1,854.94","$1,862.92"
"Apr 29, 2022","$1,894.92","$1,920.38","$1,892.95","$1,897.14"
"Apr 28, 2022","$1,885.90","$1,897.13","$1,872.66","$1,894.49"
"Apr 27, 2022","$1,905.43","$1,907.36","$1,881.77","$1,885.86"
"Apr 26, 2022","$1,898.48","$1,911.66","$1,896.16","$1,905.43"
"Apr 25, 2022","$1,930.58","$1,935.11","$1,891.95","$1,898.48"
"Apr 22, 2022","$1,951.43","$1,956.10","$1,927.03","$1,932.35"
"Apr 21, 2022","$1,957.53","$1,958.17","$1,937.15","$1,952.18"
"Apr 20, 2022","$1,950.40","$1,958.87","$1,939.80","$1,957.79"
"Apr 19, 2022","$1,979.00","$1,982.41","$1,944.10","$1,950.40"
"Apr 18, 2022","$1,972.78","$1,998.86","$1,971.90","$1,978.89"
"Apr 15, 2022","$1,973.70","$1,975.20","$1,973.70","$1,975.20"
"Apr 14, 2022","$1,977.62","$1,980.84","$1,961.01","$1,973.70"
"Apr 13, 2022","$1,967.32","$1,981.99","$1,963.35","$1,977.87"
"Apr 12, 2022","$1,954.14","$1,979.13","$1,950.06","$1,967.32"
"Apr 11, 2022","$1,946.74","$1,970.36","$1,940.36","$1,955.00"
"Apr 08, 2022","$1,931.37","$1,948.57","$1,928.15","$1,947.80"
"Apr 07, 2022","$1,924.88","$1,938.21","$1,920.95","$1,932.00"
"Apr 06, 2022","$1,924.10","$1,933.97","$1,915.44","$1,925.68"
"Apr 05, 2022","$1,933.12","$1,945.04","$1,918.37","$1,924.92"
"Apr 04, 2022","$1,925.31","$1,937.41","$1,915.94","$1,932.79"
"Apr 01, 2022","$1,937.64","$1,940.06","$1,918.47","$1,925.29"
"Mar 31, 2022","$1,933.50","$1,950.23","$1,919.74","$1,937.46"
"Mar 30, 2022","$1,919.52","$1,939.04","$1,916.37","$1,932.87"
"Mar 29, 2022","$1,922.47","$1,929.84","$1,890.57","$1,919.52"
"Mar 28, 2022","$1,957.40","$1,959.49","$1,917.38","$1,923.06"
"Mar 25, 2022","$1,958.81","$1,964.78","$1,943.62","$1,958.96"
"Mar 24, 2022","$1,944.03","$1,966.66","$1,937.97","$1,958.01"
"Mar 23, 2022","$1,922.81","$1,948.84","$1,916.12","$1,945.80"
"Mar 22, 2022","$1,935.82","$1,938.92","$1,911.11","$1,922.36"
"Mar 21, 2022","$1,922.88","$1,941.90","$1,918.41","$1,935.34"
"Mar 18, 2022","$1,943.07","$1,945.88","$1,918.48","$1,922.00"
"Mar 17, 2022","$1,927.87","$1,950.28","$1,923.93","$1,943.20"
"Mar 16, 2022","$1,918.45","$1,930.02","$1,895.38","$1,927.37"
"Mar 15, 2022","$1,953.05","$1,955.19","$1,907.45","$1,918.45"
"Mar 14, 2022","$1,990.87","$1,990.87","$1,950.19","$1,951.60"
"Mar 11, 2022","$1,996.94","$1,999.52","$1,959.10","$1,986.27"
"Mar 10, 2022","$1,992.77","$2,009.70","$1,971.19","$1,996.94"
"Mar 09, 2022","$2,050.93","$2,059.65","$1,976.56","$1,992.77"
"Mar 08, 2022","$1,997.67","$2,071.15","$1,981.59","$2,050.93"
"Mar 07, 2022","$1,978.13","$2,003.06","$1,961.48","$1,997.67"
"Mar 04, 2022","$1,937.06","$1,971.45","$1,930.18","$1,970.78"
"Mar 03, 2022","$1,928.18","$1,941.70","$1,922.47","$1,937.06"
"Mar 02, 2022","$1,945.83","$1,948.45","$1,914.12","$1,928.18"
"Mar 01, 2022","$1,908.91","$1,950.76","$1,901.82","$1,945.83"
"Feb 28, 2022","$1,921.93","$1,928.68","$1,891.32","$1,908.91"
"Feb 25, 2022","$1,904.54","$1,922.41","$1,883.42","$1,888.95"
"Feb 24, 2022","$1,908.57","$1,974.94","$1,878.62","$1,904.54"
