"Date","Open","High","Low","Close"
"Jun 07, 2022","$2,020.00","$2,030.00","$2,030.00","$2,003.00"
"Jun 06, 2022","$1,998.90","$2,036.11","$2,036.11","$2,020.00"
"Jun 03, 2022","$2,057.50","$2,078.33","$2,078.33","$1,990.01"
"Jun 02, 2022","$2,001.00","$2,069.00","$2,069.00","$2,069.00"
"Jun 01, 2022","$2,003.50","$2,042.71","$2,042.71","$2,011.28"
"May 31, 2022","$2,051.00","$2,098.00","$2,098.00","$2,020.00"
"May 30, 2022","$2,088.00","$2,099.30","$2,099.30","$2,050.80"
"May 27, 2022","$2,022.50","$2,116.38","$2,116.38","$2,089.62"
"May 26, 2022","$2,017.00","$2,034.00","$2,034.00","$2,031.00"
"May 25, 2022","$2,019.00","$2,047.00","$2,047.00","$2,022.00"
"May 24, 2022","$2,014.00","$2,031.00","$2,031.00","$2,019.00"
"May 23, 2022","$1,970.50","$2,050.80","$2,050.80","$2,012.00"
"May 20, 2022","$2,020.00","$2,045.08","$2,045.08","$1,980.18"
"May 19, 2022","$2,030.00","$2,040.00","$2,040.00","$2,018.00"
"May 18, 2022","$2,068.00","$2,130.00","$2,130.00","$2,029.00"
"May 17, 2022","$2,039.00","$2,100.41","$2,100.41","$2,068.47"
"May 16, 2022","$1,947.00","$2,055.00","$2,055.00","$2,039.00"
"May 13, 2022","$1,926.00","$1,981.00","$1,981.00","$1,958.00"
"May 12, 2022","$2,040.00","$2,058.81","$2,058.81","$1,918.20"
"May 11, 2022","$2,082.00","$2,103.91","$2,103.91","$2,046.99"
"May 10, 2022","$2,105.93","$2,176.53","$2,176.53","$2,082.00"
"May 09, 2022","$2,054.00","$2,153.82","$2,153.82","$2,105.93"
"May 06, 2022","$2,200.00","$2,211.00","$2,211.00","$2,065.01"
"May 05, 2022","$2,261.00","$2,294.00","$2,294.00","$2,203.00"
"May 04, 2022","$2,277.94","$2,301.91","$2,301.91","$2,272.22"
"May 03, 2022","$2,228.99","$2,294.02","$2,294.02","$2,279.41"
"May 02, 2022","$2,329.00","$2,359.00","$2,359.00","$2,229.00"
"Apr 29, 2022","$2,241.50","$2,361.70","$2,361.70","$2,336.00"
"Apr 28, 2022","$2,210.00","$2,303.36","$2,303.36","$2,240.53"
"Apr 27, 2022","$2,200.70","$2,277.37","$2,277.37","$2,223.59"
"Apr 26, 2022","$2,159.00","$2,267.79","$2,267.79","$2,200.70"
"Apr 25, 2022","$2,371.50","$2,384.00","$2,384.00","$2,156.99"
"Apr 22, 2022","$2,443.00","$2,463.37","$2,463.37","$2,392.99"
"Apr 21, 2022","$2,458.00","$2,494.00","$2,494.00","$2,440.00"
"Apr 20, 2022","$2,394.01","$2,501.24","$2,501.24","$2,482.01"
"Apr 19, 2022","$2,443.50","$2,477.35","$2,477.35","$2,394.01"
"Apr 18, 2022","$2,386.00","$2,478.37","$2,478.37","$2,436.91"
"Apr 15, 2022","$2,382.12","$2,388.21","$2,388.21","$2,386.01"
"Apr 14, 2022","$2,346.00","$2,406.02","$2,406.02","$2,382.12"
"Apr 13, 2022","$2,355.00","$2,436.00","$2,436.00","$2,335.00"
"Apr 12, 2022","$2,428.00","$2,482.00","$2,482.00","$2,355.00"
"Apr 11, 2022","$2,505.80","$2,561.24","$2,561.24","$2,447.48"
"Apr 08, 2022","$2,242.00","$2,501.08","$2,501.08","$2,439.05"
