"Date","Open","High","Low","Close"
"Jun 07, 2022","$1,036.99","$1,037.00","$1,003.84","$1,020.00"
"Jun 06, 2022","$1,022.69","$1,037.96","$1,016.44","$1,037.00"
"Jun 03, 2022","$1,030.70","$1,035.95","$1,010.16","$1,022.01"
"Jun 02, 2022","$1,001.50","$1,030.20","$990.90","$1,029.00"
"Jun 01, 2022","$976.00","$1,014.00","$967.00","$1,002.00"
"May 31, 2022","$965.00","$981.00","$955.00","$975.00"
"May 30, 2022","$962.50","$968.00","$957.24","$964.99"
"May 27, 2022","$955.00","$967.00","$951.00","$960.00"
"May 26, 2022","$951.50","$957.82","$942.52","$952.99"
"May 25, 2022","$959.22","$963.70","$939.94","$950.00"
"May 24, 2022","$961.00","$970.31","$952.06","$959.22"
"May 23, 2022","$961.50","$983.30","$959.10","$962.00"
"May 20, 2022","$969.00","$976.29","$948.46","$960.87"
"May 19, 2022","$942.00","$973.00","$927.00","$968.00"
"May 18, 2022","$958.50","$970.50","$934.34","$941.22"
"May 17, 2022","$951.00","$965.75","$943.47","$958.57"
"May 16, 2022","$949.99","$950.00","$949.00","$949.00"
"May 13, 2022","$948.04","$967.87","$938.14","$949.35"
"May 12, 2022","$996.91","$999.15","$945.69","$948.04"
"May 11, 2022","$967.85","$1,003.55","$966.12","$996.91"
"May 10, 2022","$963.20","$994.17","$954.34","$967.85"
"May 09, 2022","$965.26","$968.35","$932.07","$963.21"
"May 06, 2022","$985.75","$997.12","$955.48","$965.75"
"May 05, 2022","$1,001.35","$1,007.88","$973.49","$985.75"
"May 04, 2022","$968.16","$1,007.25","$966.62","$1,001.35"
"May 03, 2022","$942.82","$975.45","$938.69","$968.16"
"May 02, 2022","$951.21","$954.41","$920.59","$942.77"
"Apr 29, 2022","$924.12","$951.68","$920.60","$951.65"
"Apr 28, 2022","$923.40","$938.24","$912.17","$924.12"
"Apr 27, 2022","$928.12","$945.72","$909.96","$923.40"
"Apr 26, 2022","$923.54","$936.20","$916.11","$928.12"
"Apr 25, 2022","$938.31","$938.31","$915.14","$923.54"
"Apr 22, 2022","$973.01","$974.45","$930.94","$939.96"
"Apr 21, 2022","$992.65","$996.81","$970.05","$973.01"
"Apr 20, 2022","$996.47","$997.73","$976.47","$992.65"
"Apr 19, 2022","$1,017.90","$1,027.19","$986.50","$996.47"
"Apr 18, 2022","$1,000.99","$1,025.86","$998.70","$1,017.90"
"Apr 15, 2022","$997.25","$997.25","$997.25","$997.25"
"Apr 14, 2022","$992.90","$1,000.25","$975.92","$997.25"
"Apr 13, 2022","$974.20","$994.84","$971.88","$992.90"
"Apr 12, 2022","$985.85","$991.35","$964.87","$974.22"
"Apr 11, 2022","$986.47","$1,000.50","$977.28","$985.74"
"Apr 08, 2022","$967.71","$999.17","$964.10","$984.87"
"Apr 07, 2022","$959.97","$970.11","$946.56","$967.73"
"Apr 06, 2022","$973.74","$978.83","$953.89","$959.97"
"Apr 05, 2022","$991.91","$994.04","$971.35","$973.74"
"Apr 04, 2022","$996.54","$1,001.91","$985.37","$991.91"
"Apr 01, 2022","$989.83","$1,004.32","$985.64","$995.22"
"Mar 31, 2022","$996.51","$999.21","$982.59","$989.83"
"Mar 30, 2022","$989.43","$1,007.29","$983.75","$996.51"
"Mar 29, 2022","$989.24","$996.51","$959.76","$989.44"
"Mar 28, 2022","$1,011.83","$1,011.83","$984.55","$989.24"
"Mar 25, 2022","$1,027.37","$1,037.28","$1,004.23","$1,014.84"
"Mar 24, 2022","$1,028.56","$1,037.79","$1,015.08","$1,027.41"
"Mar 23, 2022","$1,028.24","$1,032.30","$1,014.63","$1,028.56"
"Mar 22, 2022","$1,043.38","$1,048.58","$1,017.49","$1,028.24"
"Mar 21, 2022","$1,031.68","$1,048.26","$1,024.65","$1,043.36"
"Mar 18, 2022","$1,028.63","$1,045.38","$1,025.53","$1,033.62"
"Mar 17, 2022","$1,023.92","$1,034.93","$1,013.41","$1,028.63"
"Mar 16, 2022","$991.56","$1,026.68","$987.16","$1,023.92"
"Mar 15, 2022","$1,036.96","$1,048.96","$989.66","$991.56"
"Mar 14, 2022","$1,090.22","$1,090.22","$1,031.17","$1,036.96"
"Mar 11, 2022","$1,076.23","$1,096.02","$1,057.30","$1,096.02"
"Mar 10, 2022","$1,091.06","$1,106.84","$1,067.23","$1,076.23"
"Mar 09, 2022","$1,160.56","$1,179.95","$1,072.71","$1,091.06"
"Mar 08, 2022","$1,131.53","$1,184.59","$1,122.40","$1,160.56"
"Mar 07, 2022","$1,152.09","$1,162.60","$1,107.89","$1,131.53"
"Mar 04, 2022","$1,085.39","$1,135.67","$1,075.43","$1,133.69"
"Mar 03, 2022","$1,076.37","$1,098.38","$1,070.98","$1,085.39"
"Mar 02, 2022","$1,059.43","$1,083.77","$1,054.51","$1,076.37"
"Mar 01, 2022","$1,049.85","$1,069.06","$1,044.22","$1,059.43"
"Feb 28, 2022","$1,080.22","$1,080.22","$1,039.86","$1,049.85"
"Feb 25, 2022","$1,063.72","$1,072.35","$1,049.43","$1,062.60"
"Feb 24, 2022","$1,096.82","$1,130.75","$1,043.89","$1,063.72"
"Feb 23, 2022","$1,079.35","$1,097.47","$1,079.35","$1,096.82"
"Feb 22, 2022","$1,082.29","$1,096.02","$1,078.73","$1,079.35"
"Feb 21, 2022","$1,083.30","$1,085.88","$1,071.27","$1,082.29"
"Feb 18, 2022","$1,094.48","$1,101.34","$1,069.29","$1,082.08"
"Feb 17, 2022","$1,066.92","$1,096.70","$1,059.54","$1,094.48"
"Feb 16, 2022","$1,030.09","$1,070.50","$1,025.47","$1,066.92"
"Feb 15, 2022","$1,034.91","$1,039.66","$1,009.56","$1,030.09"
"Feb 14, 2022","$1,033.36","$1,046.51","$1,023.92","$1,034.91"
"Feb 11, 2022","$1,031.67","$1,041.34","$1,012.38","$1,037.38"
"Feb 10, 2022","$1,040.25","$1,060.48","$1,019.68","$1,031.67"
"Feb 09, 2022","$1,037.54","$1,045.66","$1,026.21","$1,040.25"
"Feb 08, 2022","$1,026.63","$1,040.30","$1,009.42","$1,037.54"
"Feb 07, 2022","$1,032.38","$1,037.13","$1,014.28","$1,026.63"
"Feb 04, 2022","$1,038.52","$1,044.24","$1,016.75","$1,032.87"
"Feb 03, 2022","$1,038.45","$1,043.16","$1,023.32","$1,038.52"
"Feb 02, 2022","$1,032.79","$1,049.56","$1,029.92","$1,038.45"
"Feb 01, 2022","$1,022.91","$1,050.05","$1,021.34","$1,032.79"
