"Date","Open","High","Low","Close"
"Jun 07, 2022","$22.10","$22.30","$21.87","$22.30"
"Jun 06, 2022","$21.99","$22.53","$21.90","$22.18"
"Jun 03, 2022","$22.34","$22.49","$21.85","$21.96"
"Jun 02, 2022","$21.86","$22.38","$21.77","$22.38"
"Jun 01, 2022","$21.57","$21.98","$21.44","$21.84"
"May 31, 2022","$22.01","$22.04","$21.49","$21.59"
"May 30, 2022","$22.13","$22.29","$21.92","$21.99"
"May 27, 2022","$22.04","$22.46","$21.95","$22.15"
"May 26, 2022","$21.99","$22.09","$21.73","$22.09"
"May 25, 2022","$22.18","$22.19","$21.75","$22.05"
"May 24, 2022","$21.81","$22.22","$21.68","$22.18"
"May 23, 2022","$21.83","$22.20","$21.68","$21.86"
"May 20, 2022","$21.95","$22.09","$21.61","$21.78"
"May 19, 2022","$21.43","$22.00","$21.29","$21.99"
"May 18, 2022","$21.65","$21.76","$21.38","$21.44"
"May 17, 2022","$21.64","$21.93","$21.52","$21.65"
"May 16, 2022","$21.12","$21.69","$20.85","$21.65"
"May 13, 2022","$20.71","$21.16","$20.47","$21.14"
"May 12, 2022","$21.59","$21.67","$20.63","$20.69"
"May 11, 2022","$21.29","$21.97","$21.25","$21.59"
"May 10, 2022","$21.80","$22.11","$21.19","$21.28"
"May 09, 2022","$22.35","$22.40","$21.70","$21.81"
"May 06, 2022","$22.52","$22.65","$22.11","$22.39"
"May 05, 2022","$23.04","$23.29","$22.33","$22.52"
"May 04, 2022","$22.43","$23.10","$22.22","$23.00"
"May 03, 2022","$22.66","$22.85","$22.43","$22.59"
"May 02, 2022","$22.77","$22.89","$22.13","$22.65"
"Apr 29, 2022","$23.16","$23.57","$22.69","$22.77"
"Apr 28, 2022","$23.32","$23.42","$22.90","$23.35"
"Apr 27, 2022","$23.53","$23.70","$23.25","$23.29"
"Apr 26, 2022","$23.64","$23.94","$23.41","$23.54"
"Apr 25, 2022","$24.13","$24.25","$23.41","$23.50"
"Apr 22, 2022","$24.66","$24.68","$24.06","$24.17"
"Apr 21, 2022","$25.21","$25.21","$24.33","$24.44"
"Apr 20, 2022","$25.20","$25.30","$24.90","$25.14"
"Apr 19, 2022","$25.88","$26.01","$25.07","$25.21"
"Apr 18, 2022","$25.65","$26.23","$25.63","$25.88"
"Apr 15, 2022","$25.68","$25.70","$25.34","$25.34"
